ebMEDsi loendis olev kood;RHK-10 eestikeelne nimetus
T21.3;Kere kolmanda järgu põletus
T22.3;Õla ja ülajäseme (v.a randme ning käe) kolmanda järgu põletus
T23.3;Randme ning käe kolmanda järgu põletus
T24.3;Puusa ja alajäseme (v.a kanna ning jala) kolmanda järgu põletus
T25.3;Kanna ning jala kolmanda järgu põletus
T26.2;Põletus silmamuna järgneva rebendi ja purustusega
T26.6;Sarvkesta ja sidekestakoti söövitus
T26.7;Söövitus silmamuna järgneva rebendi ja purustusega
T28.6;Söögitoru söövitus
T29.3;Mitme kehapiirkonna põletused vahemalt ühe kolmanda järgu põletuse mainimisega
T30.3;Täpsustamata kehapiirkonna kolmanda järgu põletus
T31.1;Haaratud kehapinna ulatuse järgi klassifitseeritavad põletused. 10-19% kehapinnast haaravad põletused
T31.2;Haaratud kehapinna ulatuse järgi klassifitseeritavad põletused. 20-29% kehapinnast haaravad põletused
T31.3;Haaratud kehapinna ulatuse järgi klassifitseeritavad põletused. 30-39% kehapinnast haaravad põletused
T31.4;Haaratud kehapinna ulatuse järgi klassifitseeritavad põletused. 40-49% kehapinnast haaravad põletused
T31.5;Haaratud kehapinna ulatuse järgi klassifitseeritavad põletused. 50-59% kehapinnast haaravad põletused
T31.6;Haaratud kehapinna ulatuse järgi klassifitseeritavad põletused. 60-69% kehapinnast haaravad põletused
T31.7;Haaratud kehapinna ulatuse järgi klassifitseeritavad põletused. 70-79% kehapinnast haaravad põletused
T31.8;Haaratud kehapinna ulatuse järgi klassifitseeritavad põletused. 80-89% kehapinnast haaravad põletused
T31.9;Haaratud kehapinna ulatuse järgi klassifitseeritavad põletused. 90% või rohkem kehapinnast haaravad põletused
T34;Koenekroosiga külmumus
T40;Mürgistus narkootikumide ja psühhodüsleptikumide [hallutsinogeenidega]
T51;Alkoholi toksiline toime
T52;Orgaaniliste lahustite toksiline toime
T74;Halva kohtlemise sündroomid
T75.2;Vibratsiooni toime
T78.2;Täpsustamata anafülaktiline šokk
T78.3;Angioneurootiline turse
T79.2;Traumaatiline sekundaarne ja korduv verejooks
T79.6;Lihase traumaatiline isheemia
T80.5;Anafülaktiline šokk seerumi toimest
T82.6;Südameklapiproteesi põhjustatud nakkus ja põletikureaktsioon
T82.7;Muude südame- ja veresooneseadiste, implantaatide ja transplantaatide põhjustatud nakkus ja põletikureaktsioon
T84.0;Sisemise liigeseproteesi mehhaaniline tüsistus
T84.5;Sisemise liigeseproteesi põhjustatud nakkus ja põletikureaktsioon
T85.0;Intrakraniaalse vatsakestevahelise ühendusšundi mehhaaniline tüsistus
T86;Transplanteeritud [siirik]elundite ja -kudede puudulikkus ning hülgamine
T87.3;Amputatsioonikondi neuroom
T88.3;Anesteesiatekkene pahaloomuline hüperpüreksia
T88.6;Õige rohu või ravimi õige manustamise kahjuliku toime põhjustatud anafülaktiline šokk
T88.7;Rohu või ravimi täpsustamata kahjulik toime
T90;Peavigastuste jääknähud
T91;Kaela- ja kerevigastuste jääknähud
T92;Ülajäseme vigastuste jääknähud
T93;Alajäseme vigastuste jääknähud
T94;Mitut ja täpsustamata kehapiirkonda haaravate vigastuste jääknähud
T95;Põletuste, söövituste ja külmumuse jääknähud
T96;Rohtude, ravimite ja bioloogiliste ainete toksilise toime jääknähud
T97;Peamiselt mittemeditsiinilise päritoluga ainete toksilise toime jääknähud
T98;Välispõhjuste muu ja täpsustamata toime jääknähud
Z03.0;Jälgimine kahtlustatud tuberkuloosi suhtes
Z20.1;Ühekordne või pikaajaline kontakt tuberkuloosiga
Z20.6;Ühekordne või pikaajaline kontakt inimese immuunpuudulikkuse viirusega [HIV]
Z21;Inimese immuunpuudulikkuse viirusnakkuse asümptomaatiline seisund
Z22.0;Tüüfusekandja
Z22.1;Muude soolenakkuste kandja
Z22.3;Muude täpsustatud bakterhaiguste kandja
Z22.5;Viirushepatiidi kandja
Z22.6;Inimese T-lümfotroopse 1 tüüpi viiruse [HTLV-1] kandja
Z55.0;Kirjaoskamatus ja madala tasemega kirjaoskus
Z57;Kutsetööga seotud riskitegurite toime
Z59.0;Kodu ja majandustingimustega seotud probleemid. Kodutus
Z59.1;Kodu ja majandustingimustega seotud probleemid. Ebasobivad elamistingimused
Z74;Hooldajasõltuvusega seotud probleemid
Z80;Pahaloomuline kasvaja perekonnaanamneesis
Z82.4;Südame isheemiatõbi ja muud vereringeelundite haigused perekonnaanamneesis
Z83.3;Melliitdiabeet perekonnaanamneesis
Z85;Pahaloomuline kasvaja anamneesis
Z88;Uimasti-, ravimi- ja bioloogiliste ainete allergia anamneesis
Z89;Jäsemekaotus
Z90.2;Kopsu- (kopsuosa)kaotus
Z90.3;Mao osaline kaotus
Z90.5;Neerukaotus
Z91.5;Enesekahjustus anamneesis
Z93;Tehisavaseisund
Z94;Siirikelundi- või -koeseisund
Z95;Südame- või veresooneimplantaadi või -siiriku olemasolu
Z96.0;Kuse-suguelundite implantaatide olemasolu
Z96.2;Otoloogilise ja audioloogilise implantaadi olemasolu
Z96.4;Endokriinsete implantaatide olemasolu
Z96.6;Ortopeediliste liigeseimplantaatide olemasolu
Z97.0;Tehissilma olemasolu
Z97.1;"Tehisjäseme (täieliku; osalise) olemasolu"
Z97.4;Välise kuuldeseadme olemasolu
Z97.5;(Emakasisese) kontratseptiivseadme olemasolu
Z98.0;Intestinaalse šundi e soolešundi- ja anastomoosi seisund
Z98.1;Artrodeesi seisund
Z98.2;Tserebrospinaal- e ajuvedeliku dreeni olemasolu
Z99;Sõltuvus mujal klassifitseerimata abiaparaatidest ja -seadmetest
